subject_number,FromM1_ToM2,FromM1_ToM4,FromM1_ToM3,FromM1_ToM5,FromM2_ToM1,FromM2_ToM4,FromM2_ToM3,FromM2_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM4,FromM5_ToM3
S32,0.813472254,1.227097041,1.068762254,1.075313119,0.9190706,0.546946971,1.333173102,1.015682385,0.834586503,1.074176545,1.061620217,0.996098801,1.203605771,1.099789764,0.758401011,0.865136796,0.827246202,0.764892255,1.523050078,1.06151586
S33,0.927591444,0.837771698,1.324494372,0.918318839,1.397394137,0.95578997,1.118589636,0.775556073,0.884655648,1.169012179,1.056609194,0.810516857,0.832829613,0.936213331,0.854462684,1.232594205,0.787987495,0.850371126,1.324323325,1.114358523
S34,1.462437813,0.916554524,0.935962772,0.775579459,1.509091965,0.552025023,1.070079064,0.872639418,0.63873687,0.994696104,1.162498721,1.371233064,1.048652354,0.8728107,1.116251674,0.927340436,0.494620629,0.893062782,1.326836323,1.200275989
S35,0.865740741,1.169411183,1.234886823,0.924708472,1.107765653,0.990277674,1.231433353,0.547259644,0.631825859,0.793874904,1.180356708,1.226241348,0.899270508,1.077722667,0.88018963,1.112627368,0.987176454,0.970728275,1.189209072,0.974979447
S36,1.059276636,0.517017268,1.120724456,0.810129403,0.973797829,1.304042293,1.11618659,0.826343914,0.711261108,0.735867638,1.331518916,1.269023401,1.227090136,1.118602405,0.748582651,0.872827549,0.666668,0.747204713,1.779302898,1.072305172
S37,0.902887911,0.951861696,1.160274303,0.843698176,1.062563363,0.827407774,1.100681538,0.941879097,0.836929486,1.337368528,1.013202306,1.031459512,1.079833627,1.02164526,0.90178355,0.937570757,0.97022239,1.054424157,0.929847309,1.098023443
S38,0.942926725,1.01411065,1.171053187,0.624562861,1.028710451,0.765698504,1.242294536,0.573335474,0.459734121,0.970546072,1.381793152,0.996423833,1.076846686,1.058770099,0.863186053,1.057622841,1.160603376,0.707532569,1.216901389,1.077287772
S39,1.099968238,0.692070792,1.118487591,0.836626356,0.967037359,0.92012141,1.274621801,0.694570858,1.421260542,0.718023998,0.938717203,1.204684585,1.047485256,0.886956,0.902718007,1.120465967,0.949252272,1.028257378,0.998951098,1.107070629
S40,0.950553661,0.918054459,1.153771717,0.928729907,1.091192531,0.610005761,1.13051032,1.118683565,0.731107583,0.958330083,1.14526897,1.058465824,1.309384235,0.956709658,0.882133333,0.859,0.600607775,0.808192127,1.492251867,1.185733551
S41,0.918054136,0.900049143,1.14087903,1.051449582,0.974097026,0.869046309,1.080434711,1.001421327,0.875981098,0.88571626,1.010724328,1.094921584,1.240514982,0.984360029,0.907567217,0.89323034,0.889530635,0.952314922,1.095923946,1.158225429
