subject_number,time,microstate,gev,duration,coverage,occurrence
S22,2,M5,0.070088,85.146097,13.751203,1.425364
S23,2,M5,0.101778,87.404757,19.619394,1.963725
S24,2,M5,0.101745,84.356511,18.159026,1.862464
S25,2,M5,0.101116,88.512774,19.694679,1.935912
S26,2,M5,0.091409,81.060502,17.289136,1.874349
S27,2,M5,0.09565,93.172175,19.79337,1.839602
S28,2,M5,0.042297,82.537635,10.99588,1.1898
S29,2,M5,0.053963,77.679029,12.528514,1.430075
S30,2,M5,0.064867,80.829583,12.690678,1.385946
S31,2,M5,0.096861,79.645145,16.77913,1.826087
S32,2,M5,0.075024,77.710458,15.74194,1.811531
S33,2,M5,0.106573,81.246555,18.658224,2.019511
S34,2,M5,0.081872,77.357999,16.171675,1.849644
S35,2,M5,0.119564,88.36615,21.498904,2.078912
S36,2,M5,0.100195,86.955653,20.305677,1.998372
S37,2,M5,0.086636,79.242435,17.123657,1.922593
S38,2,M5,0.074369,75.286163,15.048768,1.75563
S39,2,M5,0.159592,91.765865,25.878465,2.423352
S40,2,M5,0.099244,79.663808,19.319528,2.135448
S41,2,M5,0.087281,81.156978,17.80448,1.967248
S42,2,M5,0.077044,86.488885,16.414749,1.642552
S43,2,M5,0.083234,80.151755,16.521616,1.847181
S44,2,M5,0.081783,73.392954,16.089216,1.939873
S45,2,M5,0.081808,85.823099,15.615758,1.588229
S46,2,M5,0.120148,87.103057,20.724033,2.121191
S47,2,M5,0.086006,86.450675,18.659749,1.913867
S48,2,M5,0.087178,87.752676,17.77843,1.751073
S1,3,M5,0.071245,79.700811,15.674622,1.738283
S2,3,M5,0.057153,84.035357,13.255542,1.372086
S3,3,M5,0.080028,80.091155,16.670228,1.82798
S4,3,M5,0.080899,87.987428,16.530633,1.63878
S5,3,M5,0.071613,78.862277,16.397856,1.831146
S6,3,M5,0.089769,90.138611,18.644557,1.77241
S7,3,M5,0.087229,82.771341,18.798827,1.996205
S8,3,M5,0.066915,77.214574,14.975834,1.741376
S9,3,M5,0.044214,81.175581,12.839488,1.384556
S10,3,M5,0.078717,77.452664,16.735823,1.907973
S11,3,M5,0.076316,82.352914,17.3679,1.834552
S12,3,M5,0.094906,78.14588,17.773875,2.044966
S13,3,M5,0.064083,83.940099,14.997433,1.54619
S14,3,M5,0.068553,76.997303,15.497727,1.735271
S15,3,M5,0.078505,81.644224,16.856823,1.792392
S16,3,M5,0.111711,87.093331,20.712306,2.055624
S17,3,M5,0.063272,85.096655,15.790713,1.595319
S18,3,M5,0.087837,84.152328,19.182555,1.995949
S19,3,M5,0.083566,86.681163,18.362431,1.825316
S20,3,M5,0.075206,88.574351,16.693847,1.637015
S21,3,M5,0.038293,73.776228,10.501622,1.277981
S22,3,M5,0.066472,83.679386,13.871735,1.453733
S23,3,M5,0.094553,86.411544,19.246424,1.945826
S24,3,M5,0.0961,85.352573,18.731563,1.915025
S25,3,M5,0.093238,86.29617,18.81383,1.907223
S26,3,M5,0.083781,76.511747,17.171039,1.962305
S27,3,M5,0.083529,90.212248,18.319621,1.763899
S28,3,M5,0.036761,79.243884,10.102409,1.133895
S29,3,M5,0.04694,72.11578,12.049645,1.513002
S30,3,M5,0.051817,78.105884,11.16963,1.263048
S31,3,M5,0.095249,81.083498,17.808823,1.90295
S32,3,M5,0.07272,77.667954,15.173546,1.753049
S33,3,M5,0.088483,84.348592,17.302496,1.786123
S34,3,M5,0.080898,80.250685,16.962908,1.876842
S35,3,M5,0.101845,87.873147,20.888456,2.054031
S36,3,M5,0.099053,84.973089,20.179993,2.008851
S37,3,M5,0.085107,81.073308,17.67629,1.963494
S38,3,M5,0.075942,76.90372,16.324508,1.875973
