subject_number,time,FromM1_ToM2,FromM1_ToM3,FromM1_ToM4,FromM1_ToM5,FromM2_ToM1,FromM2_ToM3,FromM2_ToM4,FromM2_ToM5,FromM3_ToM1,FromM3_ToM2,FromM3_ToM4,FromM3_ToM5,FromM4_ToM1,FromM4_ToM2,FromM4_ToM3,FromM4_ToM5,FromM5_ToM1,FromM5_ToM2,FromM5_ToM3,FromM5_ToM4
S34,1,1.085317431,1.341493992,0.756810794,0.662689406,1.167163579,1.048262401,1.058806274,0.996833339,1.135268749,0.798231626,0.792729571,1.026513221,0.483609532,1.107554911,1.235167514,1.220325937,0.806165009,1.143189157,1.190401995,0.883017656
S35,1,0.853604739,1.134192127,0.845396773,1.006087278,0.933191078,1.233433657,1.020852472,0.781514127,0.876515613,0.879575831,0.999224874,1.167139985,0.975778432,0.886143319,1.204688245,1.08433595,0.71995779,1.138350576,1.165215973,0.8438441
S36,1,1.031741561,0.892857143,1.096677784,0.733945567,0.740385356,1.216492727,0.831793459,0.755481491,1.090953245,0.945491559,1.031447028,1.171024267,0.738817559,0.574634667,1.4222208,1.281064019,1.012196938,1.08741093,1.093808142,0.697805903
S37,1,1.024285422,1.142230449,1.091134307,0.704554008,0.689971044,1.249671515,1.116244573,0.880942371,1.210885015,0.901443705,0.752565919,1.149247189,0.766715063,0.616705529,1.306668583,1.325626146,0.931803291,1.070703946,1.014896532,0.933198717
S38,1,1.013593286,1.231145507,0.8882251,0.929127667,0.940882558,1.208353963,1.261791441,0.633284849,0.875334321,1.173956377,0.924882808,0.988282918,0.945081971,0.841980671,1.051915063,1.102592872,1.16834313,0.901199535,1.071364479,0.841687361
S39,1,0.901634811,1.08921871,0.679486625,0.865563617,0.921194851,0.758388727,1.105433821,0.903999747,1.019974769,1.005406411,0.93254836,1.20648689,0.801509347,1.440219156,1.082580425,1.142955874,0.904348219,0.416000416,1.228458355,1.302259964
S40,1,0.963713005,1.346138382,0.795065113,0.965435552,1.065471207,0.965580098,0.764140994,1.303534637,1.040918738,0.763562664,1.332561416,0.969137717,0.527774787,0.993185893,1.29305644,0.926251934,0.738889769,1.165911847,1.108334996,0.783749006
S41,1,0.794073637,1.093107987,1.336957711,0.880387971,0.749626123,1.281012512,0.774489353,1.026663968,0.855695031,1.16012636,0.725394218,1.133298878,1.137414567,1.122447453,1.09119375,0.796449085,1.045910575,0.784430704,1.078056779,1.23496071
S42,1,0.905923844,1.110200178,0.786390832,0.877836082,1.050432161,1.091496184,1.110152256,0.629303518,0.68056367,1.198184431,1.070861401,0.937757726,1.102125193,0.806521895,0.962712053,1.491989704,1.009719397,1.139536342,1.053352384,1.150491178
S43,1,1.121235269,1.141513626,1.052184229,0.743289165,0.992401631,1.174979362,0.635528027,0.966973036,1.096617446,0.984717767,0.895201129,0.948578732,0.487601976,1.094619197,1.328729282,1.195040759,0.930772626,0.987285569,1.124462966,0.997260731
S44,1,1.267804253,0.894695623,0.978751147,1.07842283,0.719795605,0.937425711,0.95476768,1.052005452,1.334745571,1.042631918,0.78626486,0.957532466,0.896723635,0.957941247,1.230276375,0.896723635,0.737868252,0.551219241,1.325474998,1.398215925
S45,1,1.136169849,1.06648703,1.02057213,0.918568036,0.626089835,1.414531516,0.851772784,1.126954647,1.231303882,1.025690718,0.632834989,0.879501715,1.085271111,0.645743827,1.042503748,1.063125714,1.015780161,1.0989,0.819628986,1.513545721
S46,1,0.730847672,1.356576172,0.950822979,0.783459106,1.021812797,0.958589666,0.983808316,1.0995598,1.065100751,1.114584631,0.732259664,1.019931414,0.851677248,1.119238221,1.035932018,1.191963307,0.943182676,1.062417367,1.054601233,0.994600616
S47,1,0.926710044,1.177856944,0.935409772,0.975504229,1.031032816,1.071463877,1.096879412,0.656785767,0.929526044,0.944579306,1.09317402,1.098979539,1.002008772,1.040350536,1.185931882,0.907805322,1.133522666,0.902735791,0.883480832,1.116228643
S48,1,0.948676997,1.2079718,0.821068137,0.795139625,0.948676997,0.96637744,0.879715861,1.079118062,0.666279385,1.369575385,1.0251708,1.134626086,1.287625058,0.760868863,0.914180401,1.289470698,1.070331482,0.675999957,1.032916112,1.170137418
S1,2,1.051405169,0.968829856,0.992485693,0.926961163,0.99291954,1.079300674,0.851659293,1.049323455,1.012966314,1.112178223,1.092411456,0.887236357,0.928901305,0.734312023,1.1543539,1.177325156,0.693794748,1.06934587,1.057459649,1.25895029
S2,2,1.012212975,1.205784152,0.972946236,0.716288024,1.022188486,1.073300737,0.981909033,0.950433902,1.019811253,1.245104061,0.905690572,0.919398542,0.964460356,0.823275247,1.129023486,1.15652221,0.750652986,0.97033398,0.843126786,1.442145826
S3,2,0.825120719,1.2806351,0.868775475,0.9232652,0.863732312,1.214428059,0.688768636,1.148620784,1.110791923,1.030551306,1.03857705,0.933486166,1.096363905,0.71963047,1.073432179,1.052989054,0.881937049,1.137303629,0.99624346,1.037809903
S4,2,1.161024311,1.061984922,0.830381664,0.646427752,0.880230959,1.196098412,0.946249645,0.822278868,0.905176867,0.991639844,0.976174201,1.119152074,1.137933427,1.114584561,0.884988668,1.113291114,1.104135434,1.055950501,0.82371909,1.361771973
S5,2,1.156935121,0.982448867,0.908219301,0.998006837,0.887861338,1.163594121,0.884334582,1.198937139,1.095497112,1.029849328,0.908088007,0.860734707,0.968774563,0.721420953,1.270622804,1.01308398,1.018289965,0.980556325,1.073226562,0.976633784
S6,2,1.158623328,1.181341313,0.782191146,0.670781784,0.847939782,1.137231527,1.094805974,1.017521805,1.044623925,1.118551408,1.027700528,0.880124121,0.962460693,0.920154689,0.98510975,1.196202091,0.720147318,0.749685867,1.126112598,1.365847533
