subject_number,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM5,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM3_ToM4,even_60s_norm_FromM3_ToM1,even_60s_norm_FromM3_ToM5,even_60s_norm_FromM3_ToM2,even_60s_norm_FromM1_ToM4,even_60s_norm_FromM1_ToM3,even_60s_norm_FromM1_ToM5,even_60s_norm_FromM1_ToM2,even_60s_norm_FromM4_ToM4,even_60s_norm_FromM4_ToM3,even_60s_norm_FromM4_ToM1,even_60s_norm_FromM4_ToM2,even_60s_norm_FromM2_ToM4,even_60s_norm_FromM2_ToM3,even_60s_norm_FromM2_ToM1,even_60s_norm_FromM2_ToM5,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM5,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM3_ToM4,odd_60s_norm_FromM3_ToM1,odd_60s_norm_FromM3_ToM5,odd_60s_norm_FromM3_ToM2,odd_60s_norm_FromM1_ToM4,odd_60s_norm_FromM1_ToM3,odd_60s_norm_FromM1_ToM5,odd_60s_norm_FromM1_ToM2,odd_60s_norm_FromM4_ToM4,odd_60s_norm_FromM4_ToM3,odd_60s_norm_FromM4_ToM1,odd_60s_norm_FromM4_ToM2,odd_60s_norm_FromM2_ToM4,odd_60s_norm_FromM2_ToM3,odd_60s_norm_FromM2_ToM1,odd_60s_norm_FromM2_ToM5
S21,0.930950754,1.090517298,1.150000288,1.142017573,0.9705629,1.004028271,0.835889102,0.957790452,0.894735947,1.336295084,1.016748866,0.838818498,1.222727843,0.952774721,1.054078372,0.764205135,0.9201378,1.36228258,0.761495513,0.878310989,0.956325069,1.059712544,1.188160987,1.0140306,0.808201248,1.161338732,0.740851604,1.2262415,1.15632719,1.24093568,1.002150611,0.643290519,1.016010576,1.24611826,0.776718753,0.880875556,0.836990424,1.17893239,0.870920138,0.941611952
S22,1.48534111,0.836959033,1.361111111,0.417344173,1.188892218,1.292273195,0.743058359,0.942413187,0.948613893,0.869566667,0.474311771,1.781552744,1.30000044,0.916664706,0.717391876,0.804882512,0.543235779,1.327911582,0.649521983,1.086473785,1.133676379,1.442164022,0.605193667,0.794314811,0.777977243,0.71531465,1.52817389,1.082455538,0.745841659,1.227748247,0.854608261,0.961434955,1.527272483,0.845068568,0.893618135,1.124998719,1,1.267607062,0.744680416,0.833331429
S23,0.899725836,0.855588512,1.060728912,1.19963819,1.263734757,1.136567796,0.960734548,0.7171169,1.041724806,1.055257442,0.863950438,1.172501864,0.69365656,1.44924858,0.68056889,0.6441098,0.510320333,1.421599358,1.001380528,1.163882248,1.084387088,0.58276732,1.223810114,0.713888282,1.232804336,0.810125714,1.01266,0.992406382,0.901508542,0.853008128,1.110789579,1.295923292,1.054737294,1.004974393,1.26020133,0.771876524,0.428804208,1.664558226,1.073468161,0.821874061
S24,1.531622512,0.711109426,0.682663212,0.914288501,0.711964649,1.13010212,1.281539765,1.089742791,1.565408195,0.95065332,0.889808216,0.588503166,1.329999468,0.954872064,0.78814628,1.013331644,0.97857319,0.836383627,1.087304648,0.782855295,1.079277666,0.529458768,1.870745346,0.748297293,0.912800534,0.843910567,0.840738519,1.437663488,1.147860761,1.048863364,0.807347432,0.852200974,1.43393944,0.780700703,1.237337659,0.858770286,0.62857343,1.184613562,1.162260034,0.849121621
S25,1.333596454,0.796695021,1.116937123,0.691868135,1.031817112,1.062161758,0.916375128,1.054181277,0.833056897,0.996044703,1.010692703,1.356453175,1.746879594,0.905085697,0.873440911,0.884933786,0.493779846,0.983981574,0.771529761,0.931892915,1.052535474,1.202900856,0.974347993,1.036539429,1.125297277,0.864199759,1.244447033,0.794329452,1.382980489,0.401234278,0.433330907,1.843972141,0.52340401,1.366666325,1.230003895,0.732765614,0.450880771,1.324467331,1.177309134,0.953616231
S26,1.26182417,0.848207144,1.110025587,0.7834127,0.834924655,1.033159605,0.992824536,1.137970314,1.347435935,1.152668239,0.778423178,0.706349167,0.854035021,1.233459954,1.181523884,0.727511153,0.652174679,1.15384661,0.964914192,1.02040985,1.013466111,0.751052072,0.99800285,1.445771665,0.839829918,1.070782565,1.016336942,1.0261663,0.415962667,1.022376381,1.118643309,1.10491123,1.431211042,1.27915021,0.710955961,0.76032886,0.956111224,1.174983576,1.160996571,0.688726033
S27,0.890566737,1.027575732,1.571586566,0.834903388,0.944473139,0.802197864,1.165546619,1.108035478,1.209481132,1.190475,0.377073529,1.33546875,1.144654653,1.26666508,0.47862888,0.777777778,0.663127453,1.075894456,1.54486918,0.68913325,1.143999634,1.074417205,0.747168232,1.004350271,0.687001924,0.568063566,1.325033162,1.194784765,1.365692921,0.971164688,1.030714303,0.923663083,1.3273972,0.901025753,0.785774742,1.049332395,0.701088113,1.346084252,1.304343391,0.634948838
S28,1.552594126,0.698665549,0.84973198,0.888134961,1.119010539,1.059671361,0.962296506,1.163839697,0.908001308,0.98086473,0.715766031,1.218362369,0.81081,1.25125,1.0135125,0.458084746,0.628970624,1.019157638,1.113790954,0.95619327,0.500642072,1.140352812,1.824552585,1.231576429,0.421052033,1.373735093,1.066664747,0.960001037,1.110047438,1.200295376,0.703031475,0.913941824,1.410526761,1.307317711,0.676768087,0.536000472,1.044209207,1.572683694,0.450909146,0.661331922
S29,0.837209614,1.09830568,0.96,1.012501013,0.844188058,1.049269489,1.000521646,1.275070615,1.253814753,1.16633563,0.810546011,0.783635538,0.943329348,1.023771994,0.746139936,0.982639687,0.733333333,1.120706168,1.207423317,0.931213517,0.936352056,0.882479188,1.54858034,0.870553695,0.71052435,1.109586281,1.15384768,0.972972785,0.781544847,1.16549916,0.856693176,1.103664722,0.886642538,0.848835906,0.923076,1.214134359,1.167989427,1.290218166,0.962658579,0.569018604
S30,1.294644217,0.739798337,0.988640543,0.890348045,0.641568154,0.94270736,1.166483519,1.170575398,1.265305419,1.144799386,0.690168471,0.976727187,1.437501757,0.958333333,1.056119499,0.706142142,0.701753333,1.203008571,1.288935038,0.669857582,1.517243472,0.5,1.346939215,0.5,0.808257365,0.952586386,1.088670795,1.164271737,1.231056958,1.182950555,0.663263682,0.902781464,1.226325022,1.240423689,0.562068333,0.899308253,0.615531433,1.245213155,1.354169488,0.442174019
