subject_number,even_120s_norm_FromM4_ToM3,even_120s_norm_FromM4_ToM1,even_120s_norm_FromM4_ToM5,even_120s_norm_FromM4_ToM2,even_120s_norm_FromM3_ToM4,even_120s_norm_FromM3_ToM1,even_120s_norm_FromM3_ToM5,even_120s_norm_FromM3_ToM2,even_120s_norm_FromM1_ToM4,even_120s_norm_FromM1_ToM3,even_120s_norm_FromM1_ToM5,even_120s_norm_FromM1_ToM2,even_120s_norm_FromM5_ToM4,even_120s_norm_FromM5_ToM3,even_120s_norm_FromM5_ToM1,even_120s_norm_FromM5_ToM2,even_120s_norm_FromM2_ToM4,even_120s_norm_FromM2_ToM3,even_120s_norm_FromM2_ToM1,even_120s_norm_FromM2_ToM5,odd_120s_norm_FromM4_ToM3,odd_120s_norm_FromM4_ToM1,odd_120s_norm_FromM4_ToM5,odd_120s_norm_FromM4_ToM2,odd_120s_norm_FromM3_ToM4,odd_120s_norm_FromM3_ToM1,odd_120s_norm_FromM3_ToM5,odd_120s_norm_FromM3_ToM2,odd_120s_norm_FromM1_ToM4,odd_120s_norm_FromM1_ToM3,odd_120s_norm_FromM1_ToM5,odd_120s_norm_FromM1_ToM2,odd_120s_norm_FromM5_ToM4,odd_120s_norm_FromM5_ToM3,odd_120s_norm_FromM5_ToM1,odd_120s_norm_FromM5_ToM2,odd_120s_norm_FromM2_ToM4,odd_120s_norm_FromM2_ToM3,odd_120s_norm_FromM2_ToM1,odd_120s_norm_FromM2_ToM5
S37,1.360402782,0.679883645,1.261382189,0.782792227,0.888080049,1.131973121,1.045724385,0.982208334,0.846744513,1.086729613,0.93205513,0.819431243,1.307780103,0.907879421,1.014657184,0.977955727,0.713622048,1.238515535,1.057005636,0.924942474,1.214055841,0.755920538,1.418188224,0.404005241,0.782850188,1.121437477,1.177203786,1.032228467,0.90598018,1.184071434,0.664980054,1.178710001,1.074934573,1.113434554,0.996577539,0.864552804,1.095370273,1.248059805,0.789234405,0.626446769
S38,1.272393818,0.550952539,1.019157684,1.181165653,0.898799084,0.948124628,0.892873293,1.149789604,1.314992339,1.164937739,0.874770286,0.700916763,1.00884712,1.097560976,1.12870982,0.679245283,0.975287351,1.22181246,0.942368052,0.880776076,1.045154307,0.897041627,0.920289326,0.978592189,1.086461952,0.856573457,1.122005034,1.151020444,0.828542958,1.187907534,1.013608837,1.028833091,1.074373,0.994821926,1.297035003,0.694841242,0.985605259,1.236456154,1.019889946,0.548072125
S39,1.130509564,0.812169772,0.967590533,1.145129176,0.820856481,0.925070652,1.199039568,0.896712644,0.663045633,1.22733237,0.858614942,1.440405124,1.504799223,0.998931913,1.020642014,0.581159445,0.530649513,0.99356025,1.038232018,1.282722805,1.162968612,0.698549923,1.085432934,1.35679972,1.158388996,0.885997509,1.133485618,0.932145421,1.024607709,0.833170376,0.93315112,1.099320372,1.042720249,1.135369839,1.063365979,0.715999799,0.744135312,0.842259956,1.050743927,1.13200029
S40,1.222279028,0.652355601,1.197778551,0.749798745,0.970558562,0.970896689,0.993677969,1.10278833,0.689327247,1.317828081,0.888718515,1.331504818,0.920531861,1.114569433,0.887087303,0.846715366,0.908425817,0.972548633,1.174082869,1.141911771,1.353420734,0.745559828,0.66815785,1.014917559,1.251788409,1.017687136,1.103458919,0.712935938,0.734568555,1.165131787,0.8536788,1.156204786,0.634613267,1.319557191,0.8649467,1.046611547,0.87082773,0.907684685,1.046234307,1.250157922
S41,1.181514364,1.003602935,0.795715074,1.273142008,0.984000157,0.886485528,0.851947356,1.135927653,0.836216216,1.639636927,0.702702703,0.421620525,1.362501771,0.884740646,0.920606864,0.880525898,0.690001601,0.932866754,1.19542785,1.56387168,1.159589135,1.049696727,0.946604072,0.935461966,0.776332406,0.791705399,1.070922419,1.292212168,1.053544447,1.085148868,1.11421372,0.729513292,1.163748788,1.168691601,1.044379579,0.72524041,0.951291551,1.224789408,1.058326249,0.71578783
S42,0.644897277,0.83165697,1.459189037,1.164893641,0.976391418,0.86823971,0.736257471,1.139982414,0.927138349,1.050759456,1.146991724,0.884719756,1.473667673,1.206222618,0.749430955,0.735289886,0.849373652,1.356423291,1.312670584,0.636837486,1.173468499,0.88010097,1.101035284,0.880104157,1.020869648,0.927840761,1.115598424,1.037335828,0.864374869,1.008437413,0.821694127,1.0264436,0.961450662,1.070704297,0.883331843,1.156745499,1.1377548,1.176541742,1.04531365,0.639108219
S43,1.278386178,0.918086737,1.003273101,0.715569414,0.829176237,1.012851681,1.0500679,1.032325438,1.181287359,0.919377301,0.904393479,1.328038966,0.966834359,1.218862438,0.973353895,0.885083645,0.870214648,1.332698473,0.860712387,0.666236722,1.297367043,0.607418008,1.199024416,1.010186993,0.932328717,1.123940121,0.893694982,0.937144,0.944302855,1.2576376,0.818965,1.041786208,1.128498165,1.0378368,1.000308965,0.935771737,0.585151864,1.194378718,0.958437468,1.041675496
S44,1.054939511,0.939263435,0.89453962,1.095583958,0.851157807,1.203491388,0.902616161,1.065882066,1.092279108,1.141976667,0.994511485,0.94119863,1.010612048,1.370716667,0.953616137,0.614705724,1.239209264,0.840385713,0.620561341,1.241122682,1.1676623,1,0.925926123,0.894307499,0.816977056,1.1632157,1.130904935,1.018449541,0.968944099,0.967492206,0.928575685,1.17770242,1.277036362,1.107391041,0.984247168,0.928655247,0.921951268,1.104130946,0.834149634,0.810978811
S45,0.921779878,1.226178158,1.239630735,0.582961064,0.796819063,1.146740558,0.976793142,1.105857061,0.965753065,0.952397081,0.553859985,1.338500882,1.385132309,1.32036716,0.74846434,0.63788128,0.986884957,1.155711316,0.868779916,1.176178125,1.292174447,0.906391917,0.788720179,0.866399492,0.91530863,1.142856,1.037440088,0.866667533,0.899268759,1.049145659,1.10944246,1.049145523,1.730902821,0.735629703,1.190917673,1.009686725,0.496029762,1.32275,0.830957265,0.957856322
S46,1.167274291,0.41762647,1.188072015,0.991861315,0.672524403,1.040165792,1.160095012,1.048293213,1.107533781,0.972533059,1.038313818,1.00370367,1.227110703,1.243304831,1.087352869,0.66724,0.931798119,1.139543906,1.137779396,0.772412088,1.208731227,0.886013656,0.741945869,1.235088148,0.636580043,1.089563388,1.158992996,1.149389656,0.857420399,1.445527932,0.725970142,0.835502032,0.926830146,1.046678468,0.997395416,0.956612934,1.13553697,0.680795441,0.945530942,1.363627246
S47,1.081720592,0.843422396,1.170130442,0.952025088,1.15846608,1.087625683,0.853125853,0.776019949,0.848388698,0.788999592,1.264420718,1.288161793,1.297763756,1.047675706,0.846440241,0.718406447,0.91416992,1.124575147,1.389575019,0.726648932,0.962724592,1.146356338,1.082071591,1.052564251,1.081615016,0.883085687,1.007228278,1.013538233,0.916801704,1.227724,1.095959223,0.913774451,1.0118596,1.14655227,0.826130914,0.995581663,1.01662518,1.037716391,0.999098812,0.707307838
S48,1.333983141,0.915477536,1.153733822,0.7141627,0.71306248,0.881204983,1.15643512,1.093633733,1.268216199,0.944855862,0.841951433,1.023721074,1.437926939,1.038504704,0.923116369,0.840140221,0.604392156,1.059259445,1.290125781,0.871284946,0.905821959,1.099289355,1.525114503,0.557369228,1.057327928,0.992119758,0.852499533,1.285166014,1.019894837,1.144708491,0.763137466,1.255038661,1.364486874,1.020979621,0.945161192,0.608895073,0.584393159,0.962000508,0.990575782,1.099431381
