subject_number,even_180s_norm_FromM4_ToM3,even_180s_norm_FromM4_ToM1,even_180s_norm_FromM4_ToM5,even_180s_norm_FromM4_ToM2,even_180s_norm_FromM3_ToM4,even_180s_norm_FromM3_ToM1,even_180s_norm_FromM3_ToM5,even_180s_norm_FromM3_ToM2,even_180s_norm_FromM1_ToM4,even_180s_norm_FromM1_ToM3,even_180s_norm_FromM1_ToM5,even_180s_norm_FromM1_ToM2,even_180s_norm_FromM5_ToM4,even_180s_norm_FromM5_ToM3,even_180s_norm_FromM5_ToM1,even_180s_norm_FromM5_ToM2,even_180s_norm_FromM2_ToM4,even_180s_norm_FromM2_ToM3,even_180s_norm_FromM2_ToM1,even_180s_norm_FromM2_ToM5,odd_180s_norm_FromM4_ToM3,odd_180s_norm_FromM4_ToM1,odd_180s_norm_FromM4_ToM5,odd_180s_norm_FromM4_ToM2,odd_180s_norm_FromM3_ToM4,odd_180s_norm_FromM3_ToM1,odd_180s_norm_FromM3_ToM5,odd_180s_norm_FromM3_ToM2,odd_180s_norm_FromM1_ToM4,odd_180s_norm_FromM1_ToM3,odd_180s_norm_FromM1_ToM5,odd_180s_norm_FromM1_ToM2,odd_180s_norm_FromM5_ToM4,odd_180s_norm_FromM5_ToM3,odd_180s_norm_FromM5_ToM1,odd_180s_norm_FromM5_ToM2,odd_180s_norm_FromM2_ToM4,odd_180s_norm_FromM2_ToM3,odd_180s_norm_FromM2_ToM1,odd_180s_norm_FromM2_ToM5
S12,0.925160542,0.917693811,1.329990663,0.955039134,1.064029863,1.004161786,0.881279366,1.083028961,0.856437256,1.155736095,1.008601095,0.990255727,0.894265775,1.249550638,0.963451168,0.840065233,1.151666828,1.007397663,1.079641416,0.787138189,1.174930676,1.015822467,1.06859768,0.847174269,1.022562028,0.919991183,1.047418233,1.097796786,0.774302508,1.045186901,1.048534111,1.0742567,1.084259116,0.932090896,0.886457762,1.097727137,0.937855298,1.188104449,1.137835221,0.724077388
S13,1.279627747,0.78000824,1.082513589,0.663005649,0.983013721,1.111222164,1.042669602,1.027356968,1.219072475,1.083601822,0.522853133,1.068572897,1.071943487,1.055927509,0.925466186,0.925466186,0.792454903,1.188859923,0.993845111,0.862059374,1.33786973,1.046150283,0.780499051,1.046150283,0.716508486,1.099423321,1.129039877,1.013194228,1.16084401,1.109478675,1.122148487,0.768366474,1.248798481,0.997322117,0.697429932,1.007399987,1.083452965,1.06124282,0.998875879,0.619117528
S14,1.378975784,0.913450814,0.799113945,0.953918631,0.834015334,1.048887496,1.019546124,1.032914535,1.041694734,0.980069613,0.961564835,1.177097955,1.50010964,0.716060764,0.712280681,1.146683007,0.579489534,1.270472697,1.013717697,0.985361957,1.296629091,0.801908039,0.818498591,0.947566762,0.854688153,1.104926039,0.92639707,0.996703955,0.949900632,1.177711784,0.879031646,0.890435266,1.459876583,0.910691118,1.176517627,0.912326372,0.896161881,1.249091796,0.713748964,1.108612627
S15,1.109430605,0.911027083,1.193558214,0.749155296,0.87468402,0.957904172,1.06483158,1.100185402,0.970828309,1.155907318,0.862959048,0.760156138,1.071143971,1.109430605,0.946065948,1.055626695,1.182031358,1.188952369,0.875691685,0.834373334,1.068450068,0.987897618,1.126286593,1.088233424,1.106949918,1.045451876,0.877305231,0.955613535,1.026616486,1.065990646,0.915340188,0.766957044,1.230478743,1.194626123,0.570599403,1.005680593,0.688188563,1.287473785,0.829729295,1.033423747
S16,1.126720423,0.865677905,1.088485118,0.950856576,1.162559051,0.967385519,1.052150697,0.877853073,0.909139436,0.779261383,0.978427439,1.383589052,1.2289813,1.033156403,0.870499792,0.86722936,0.776604947,1.228913804,0.986348351,0.98719552,1.10425625,0.928398349,1.080459671,0.956980381,1.076881827,1.067554734,1.039747971,1.01507396,0.761463089,1.306412792,0.935715704,0.922349808,1.122881337,0.906575964,0.920990247,1.005309461,0.827174846,1.247911425,0.831417844,0.860085695
S17,1.268700111,0.975085659,0.975881779,0.606719418,0.925611634,1.115692991,0.939366159,0.906329781,0.608913148,1.194688513,0.870587211,1.116339784,1.145592103,1.277604506,0.883737597,0.733176702,0.910079126,1.268700111,0.975085659,0.882940657,1.263252288,0.957330736,0.956892264,0.545734809,0.96968554,1.236859785,0.822051839,1.262248894,0.802409422,1.110446946,0.960234775,0.917265677,1.041266961,1.067406053,0.944851361,0.777218181,0.902076819,1.373871365,0.616937117,1.067896437
S18,1.126261153,0.803965489,1.014527076,1.235077652,0.792748323,0.97378351,1.302291148,1.086905361,0.764634764,1.214501892,0.716080551,1.06244748,1.088009001,1.000626893,1.11801,0.778251608,1.208917239,1.053536752,0.976344806,0.729679835,0.970374902,0.950560096,1.103624179,1.091007115,0.790326813,0.985241754,1.217470618,0.981362279,0.969017302,1.071800159,0.918607248,1.005404809,1.436273462,1.07159397,0.891269033,0.807594866,0.821496912,1.335890967,1.004476989,0.698198241
S19,0.950791096,0.72604273,1.437946981,0.985574958,0.980647412,0.901362212,1.037543928,1.063145745,0.926043519,1.379186694,0.730932215,0.976923167,1.002249638,1.23353382,0.801798064,0.740120938,0.763250108,1.308735109,1.108720719,0.624242588,1.255301151,0.460620668,1.013003229,1.045936626,0.960247175,0.8910435,1.123772879,0.9189621,1.135950002,1.33532638,0.752157486,0.503241656,1.124612711,0.976466345,0.887194482,1.119658165,0.957696706,1.049226344,1.500654552,0.803226071
S20,1.135647385,0.830488591,1.109434837,0.837132779,1.066018325,1.236762946,0.793040244,0.909025424,0.761149967,1.216912516,1.083240919,0.815954942,1.247351989,0.805183752,0.923843526,1.193891659,0.846804782,1.231477443,0.9005713,0.96244075,1.129171567,1.145137473,0.867531104,0.929013526,0.917939945,1.117836843,0.955881206,0.998026666,0.833822023,1.137820022,1.003962433,1.146780118,1.066788686,1.132963056,0.718951083,1.0580712,1.111977269,1.028254182,0.853602436,0.899719236
S21,0.921179522,1.252552411,1.224743039,0.887195988,0.797387489,1.114024451,0.990321172,1.11305199,1.020835247,1.341304218,0.686242149,0.79943889,1.482950646,1.101398807,0.716460518,0.718406275,0.896343896,1.1622879,0.996702205,0.712418301,1.08412393,0.895925863,1.230764718,0.902334625,0.83676806,1.114460126,0.914055715,1.10918808,0.927160544,1.204611838,0.829474154,0.926029355,1.338705946,0.912369792,1.126088983,0.860381163,0.832713971,1.140115837,1.084049205,0.787562733
S22,1.226093951,0.912258812,1.238663118,0.694818327,0.968747384,1.120025688,0.995413145,0.955103931,1.145124926,1.102071454,0.757689695,1.060568009,1.043119271,0.869265862,0.986735023,1.224320068,0.765845171,1.300045984,0.827939923,0.796288536,1.232026572,0.955159914,0.761949012,0.979121678,0.895674645,1.107546369,1.190816091,0.957695747,0.789873178,1.093693239,1.064725686,0.9324,1.308088508,0.974948853,0.99900084,0.846559179,0.947076901,1.330524062,0.824557126,0.717682461
S23,1.043667444,0.745478287,1.255542378,0.606488615,1.095448982,1.036689171,0.956943583,1.021820241,1.183524332,1.13570709,0.796987614,0.923967855,1.195673422,1.16359519,0.92348953,0.901575739,0.587809394,1.05956794,1.002292196,1.165576639,1.228794902,0.825405928,1.011795486,0.739749145,1.003215029,0.939925964,1.189875068,0.88220351,0.988154923,1.062958342,0.860657684,1.305118849,0.898602012,1.172806137,0.952457814,0.773948388,0.72595805,1.467826286,0.890391422,0.727631261
S24,1.255752632,0.869951814,1.063024875,1.048741843,0.797981341,1.168113369,1.068051105,0.957912976,1.112539,1.193636804,0.577392824,0.936448164,1.509124317,0.896898774,0.827056581,0.836253256,0.743014634,0.990284112,1.177338012,1.140081013,1.071182199,0.876383262,1.125083022,0.860491031,0.997275824,0.887967607,1.227651138,0.989038489,1.138473449,1.205881449,0.674777328,1.113770669,1.153394899,0.977352595,1.122675091,0.761648574,0.858306409,1.129525146,1.02634801,0.794617084
S25,1.197000007,1.044908358,1.015883999,0.835211808,1.025346167,1.05052284,0.998646039,1.099070895,0.995099994,1.075608077,0.729167305,1.115050637,1.135975767,1.022375712,1.058892637,0.814281001,0.705190077,1.019726498,0.72250132,1.217551435,1.036620162,0.99980793,1.094744402,0.870577314,0.970905555,0.805089473,1.145993484,0.788656493,1.158938433,0.753865824,1.0946834,1.160717602,1.150195706,1.150480505,1.081087183,0.743977888,0.875743619,1.087708903,1.309152447,0.89192948
S26,1.009295928,0.919926208,0.932514771,1.208091312,1.173275394,1.04145387,1.055706091,0.911792377,0.834817693,1.299518427,0.784211316,0.89175655,1.010178381,1.023146173,1.020840079,0.970601237,0.591828377,1.190040003,0.975554835,1.043125186,1.130222843,0.965267455,1.054547287,0.835228585,0.750789973,1.051668543,0.865194221,1.273212599,0.985533574,1.264359465,0.94844444,0.785029105,1.207576334,1.230886638,0.869919136,0.740068642,0.845831129,1.038511942,0.969381238,1.102001234
S27,1.289132228,0.733427907,1.143961501,0.893772367,0.923156864,0.971044145,1.246068135,0.862463131,0.988765306,1.150985849,0.628536535,1.093224359,0.974400032,0.977810267,0.880626279,1.224241667,0.886098915,0.892619812,1.26217578,0.880108739,1.137333329,1.415209486,0.732575282,0.85376685,0.924902133,0.679130611,1.198465305,1.044498941,0.717089218,1.542236119,0.82781581,1.054647506,1.371300954,0.933926065,0.392465001,0.970588059,1.129475995,1.088927192,1.27390703,0.53953792
S28,1.038292099,1.007538159,1.584586383,0.485357694,0.696466005,1.081341841,1.075412537,1.074378284,0.943000861,1.222406845,0.790120483,1.07753544,1.356989311,1.145899894,0.702282961,0.888063795,0.862862507,1.222379522,1.034306095,0.503495268,1.039043194,0.824950525,1.432268029,0.992299506,0.650122033,1.185509552,1.15468048,1.014217371,1.101501882,0.937022995,0.631529186,1.171045426,1.554657309,1.319916768,0.846797412,0.505960211,0.698375477,1.483660959,0.887587094,0.346500347
S29,1.060842769,0.981966958,1.187967004,1.049479049,1.216875615,1.060258935,0.858269417,1.076171683,0.652299388,1.049320893,0.803294647,1.123778516,0.842445413,1.216036264,0.876244022,0.887896177,0.661849148,1.299276675,0.823806139,0.984420583,0.884287099,1.008605537,1.138014878,1.229206379,0.91454671,1.045695496,0.864125224,1.10307012,0.987792008,1.261821309,0.714035154,0.928466528,1.006401006,0.991717816,0.846590709,1.04998878,0.80869618,1.144192688,0.943653828,1.147002294
S30,1.308556912,0.618870037,1.38626556,0.635595,0.86654143,1.001243761,1.001239788,1.15684418,0.984055188,1.152043094,0.928946723,0.878735117,1.100612339,1.054575603,1.121427209,0.822669368,0.81310132,1.322091652,1.07307845,0.403981973,1.230647276,0.671217104,1.486368412,0.960803446,0.741470588,1.12045,1.032462607,1.073632597,1.062508912,1.078486883,0.60940309,1.181767688,1.350225117,1.232347548,0.595100263,0.739765154,0.709266406,1.234874231,1.029908021,0.74071138
S31,1.343104975,0.647945983,0.93714053,1.181061384,0.867418749,1.123139007,1.08701345,1.000869372,0.623133305,1.062936818,1.042952943,0.986620178,1.237501141,0.973007765,1.018365048,0.902345533,0.536967131,1.354855236,0.856978279,0.82550619,0.925834239,1.401847889,1.05034743,0.688758362,0.873261183,0.989001006,1.198418922,0.865128922,0.674520971,1.189414684,0.835329597,1.045727796,0.570438003,1.245389792,0.936351461,0.977020909,1.622943457,1.226497301,0.845707963,0.709367639
S32,1.2243593,0.948071644,1.034720031,0.804200516,1.134116924,1.177937455,0.92907795,0.654394468,0.655959488,1.177424459,0.870676775,1.390990708,1.071837218,1.102246574,0.801754877,0.946015374,0.883055314,1.061053472,1.163303717,0.935992379,1.086966831,0.579475082,1.298649342,0.998767483,0.919227319,1.228848038,0.919227319,0.899388729,0.873119092,1.344002464,0.722581831,0.961829189,1.201250013,1.006452156,0.884460475,0.998767483,0.997520567,1.08849475,1.086992749,0.957616217
S33,1.187125718,0.820718401,1.0636402,0.964045481,1.01527503,1.138338327,0.898718876,0.927100059,0.791884279,1.180848793,0.970398989,1.097135836,1.431189559,0.968755527,0.763303494,0.963114682,0.519014233,1.255756089,1.084162238,0.907608615,0.987343176,1.052751026,1.080745119,0.759842539,0.822644218,1.22852659,0.836064668,1.093515524,0.948662056,1.172382581,0.908347833,0.957445407,1.370970079,1.160857341,0.717948,0.881802967,0.665922665,1.148034777,0.892840182,1.16322725
