subject_number,even_120s_m2_cor,even_120s_m2_gev,even_120s_m2_gfp,even_120s_m2_duration,even_120s_m2_coverage,even_120s_m2_occurrence,even_120s_m5_cor,even_120s_m5_gev,even_120s_m5_gfp,even_120s_m5_duration,even_120s_m5_coverage,even_120s_m5_occurrence,even_120s_m3_cor,even_120s_m3_gev,even_120s_m3_gfp,even_120s_m3_duration,even_120s_m3_coverage,even_120s_m3_occurrence,even_120s_m1_cor,even_120s_m1_gev,even_120s_m1_gfp,even_120s_m1_duration,even_120s_m1_coverage,even_120s_m1_occurrence,even_120s_m4_cor,even_120s_m4_gev,even_120s_m4_gfp,even_120s_m4_duration,even_120s_m4_coverage,even_120s_m4_occurrence,odd_120s_m2_cor,odd_120s_m2_gev,odd_120s_m2_gfp,odd_120s_m2_duration,odd_120s_m2_coverage,odd_120s_m2_occurrence,odd_120s_m5_cor,odd_120s_m5_gev,odd_120s_m5_gfp,odd_120s_m5_duration,odd_120s_m5_coverage,odd_120s_m5_occurrence,odd_120s_m3_cor,odd_120s_m3_gev,odd_120s_m3_gfp,odd_120s_m3_duration,odd_120s_m3_coverage,odd_120s_m3_occurrence,odd_120s_m1_cor,odd_120s_m1_gev,odd_120s_m1_gfp,odd_120s_m1_duration,odd_120s_m1_coverage,odd_120s_m1_occurrence,odd_120s_m4_cor,odd_120s_m4_gev,odd_120s_m4_gfp,odd_120s_m4_duration,odd_120s_m4_coverage,odd_120s_m4_occurrence
S11,0.63865,0.060588,1.071041,74.949979,14.796654,1.730603,0.66994,0.069282,1.110601,79.576724,15.243727,1.676521,0.727872,0.29517,1.326719,106.693091,37.171907,2.974474,0.65111,0.08641,1.14686,78.362457,18.315547,2.073118,0.650092,0.060172,1.078366,77.138778,14.472166,1.62244,0.662015,0.048762,1.119213,73.223874,10.623656,1.326165,0.667598,0.093423,1.138187,80.81337,18.222222,1.971326,0.733335,0.253001,1.305802,93.943171,31.749104,2.921147,0.669752,0.089995,1.135048,81.670998,18.379928,2.007168,0.663774,0.098701,1.11636,86.575271,21.02509,2.096774
S12,0.701906,0.10703,1.166037,79.418567,19.316463,2.114565,0.712631,0.112761,1.206648,79.818253,17.954889,2.011415,0.758789,0.259443,1.319338,92.19291,30.009627,2.802228,0.679789,0.069259,1.063962,76.709982,16.634576,1.925457,0.686279,0.080915,1.139685,73.454053,16.084445,1.925457,0.691727,0.1145,1.134133,78.936454,20.104239,2.24114,0.688872,0.09472,1.097528,85.380426,17.692842,1.876303,0.74565,0.240543,1.276276,89.695182,28.790827,2.779708,0.668163,0.079037,1.057476,72.787673,17.255038,2.119527,0.686559,0.08075,1.071344,76.599975,16.157054,1.928423
S13,0.655148,0.07585,1.262507,82.409363,15.616418,1.707118,0.666147,0.077705,1.256904,78.866253,15.534773,1.688562,0.72668,0.261112,1.394132,110.732995,36.673347,2.8019,0.661235,0.077522,1.205381,83.730025,16.670378,1.744229,0.659245,0.060092,1.139769,83.528468,15.505084,1.577229,0.688568,0.090908,1.180449,85.211177,18.118959,1.747212,0.651064,0.060458,1.125955,88.832411,14.914498,1.468401,0.747096,0.27313,1.348822,106.146367,33.026022,2.583643,0.679268,0.070714,1.13932,83.774883,15.018587,1.598513,0.66625,0.079234,1.12707,95.862733,18.921933,1.710037
S14,0.693446,0.114803,1.116321,83.778401,20.935152,2.20658,0.681387,0.065643,1.085101,75.334526,14.362827,1.659494,0.753506,0.291718,1.27778,95.536994,37.048654,3.227807,0.669818,0.069349,1.129931,74.096019,13.91057,1.641258,0.66943,0.050774,1.020357,77.867424,13.742797,1.568313,0.703768,0.124003,1.211412,76.228307,20.821938,2.383768,0.696372,0.086487,1.158673,85.489949,17.68793,1.755488,0.742741,0.276349,1.324997,96.416326,34.584966,3.012048,0.657995,0.058152,1.057603,73.726522,14.842191,1.810925,0.670612,0.05005,1.097178,72.713006,12.062976,1.496785
S15,0.666006,0.064156,1.116708,71.438796,15.02974,1.904106,0.697712,0.086252,1.175021,80.415008,17.329175,1.867837,0.756215,0.291848,1.392726,104.92247,33.577542,2.720151,0.629763,0.047965,1.091652,70.814745,12.723052,1.632091,0.699456,0.111374,1.222366,101.425574,21.34049,1.813434,0.680083,0.071573,1.123362,77.924896,15.207963,1.759687,0.692481,0.10514,1.201885,90.985298,19.452542,1.830786,0.738153,0.22626,1.294945,99.157397,30.565233,2.612869,0.654432,0.056216,1.086451,74.333538,13.103448,1.599716,0.696752,0.135109,1.252947,95.040106,21.670814,1.972983
S16,0.719346,0.080324,1.061483,81.92639,15.354605,1.654591,0.707491,0.143799,1.092083,90.97617,24.306813,2.316427,0.76471,0.247215,1.250243,107.904502,28.173331,2.264177,0.679643,0.061691,1.042231,77.411745,13.041661,1.480424,0.69304,0.087927,1.019106,88.614043,19.123589,1.828759,0.701866,0.076047,1.057911,81.840271,15.371246,1.703281,0.715654,0.10384,1.098218,82.724761,18.729143,1.929227,0.772313,0.282788,1.275546,99.510973,30.596496,2.589683,0.687177,0.061187,1.01159,77.442146,14.279755,1.65114,0.702501,0.108926,1.09607,88.675491,21.023359,2.085651
S17,0.670392,0.070666,1.163849,80.807811,15.37599,1.646927,0.670474,0.048173,1.091164,83.529316,12.383489,1.349078,0.755444,0.373418,1.442565,112.57333,40.752681,2.943444,0.645089,0.07402,1.133616,77.419323,17.506483,1.979816,0.638108,0.049723,1.071204,78.332249,13.981358,1.559324,0.6567,0.057322,1.036706,80.825284,12.832419,1.44224,0.658727,0.090247,1.02626,89.026687,19.832559,1.899536,0.741441,0.335194,1.309945,107.907909,37.266076,2.902068,0.643756,0.066965,1.021217,75.057789,16.343042,1.969889,0.645076,0.051943,0.999374,76.924983,13.725904,1.565358
S18,0.667324,0.089023,1.14465,79.666103,18.379928,2.060932,0.669575,0.101203,1.202203,83.275957,18.387097,1.88172,0.715103,0.234949,1.278807,98.315795,32.910394,2.724014,0.655485,0.071513,1.132526,76.015381,14.88172,1.756272,0.629687,0.061876,1.112761,79.10942,15.44086,1.72043,0.680146,0.092043,1.163125,74.551566,18.566334,2.228959,0.669471,0.095459,1.178611,84.832584,19.329529,1.997147,0.742856,0.282461,1.393073,95.063381,32.289586,2.835235,0.63605,0.062424,1.093205,74.557868,15.927247,1.92582,0.654689,0.061707,1.16488,83.201056,13.887304,1.515692
S19,0.67356,0.069226,1.154115,81.472775,14.96883,1.613495,0.685003,0.101081,1.21684,90.739541,18.833883,1.815182,0.735542,0.294936,1.367231,117.186156,37.425743,2.585259,0.628942,0.033393,1.06977,70.606811,10.311698,1.301797,0.661256,0.081297,1.175856,87.717228,18.459846,1.796846,0.669401,0.07268,1.136275,86.426585,16.134403,1.608143,0.657975,0.058068,1.053443,85.120122,16.04359,1.664901,0.740655,0.324327,1.404599,105.146692,37.316483,2.913577,0.634602,0.047632,1.072544,81.586068,14.212199,1.589224,0.648294,0.070518,1.161028,89.132091,16.293325,1.551385
S20,0.648703,0.056769,1.057579,80.620615,14.195285,1.546129,0.684323,0.072477,1.073822,89.590713,16.08702,1.582509,0.73031,0.257569,1.305648,107.340153,31.912107,2.419237,0.677607,0.108618,1.125027,89.117624,21.674913,1.982683,0.641862,0.073027,1.123168,87.813905,16.130675,1.564319,0.669659,0.077515,1.112922,78.190667,16.820378,1.88479,0.66791,0.074301,1.134874,86.564006,15.942029,1.573708,0.728522,0.264005,1.263741,111.07323,35.485288,2.580149,0.673301,0.087005,1.154251,83.866502,16.900893,1.774996,0.674053,0.073265,1.156871,87.505239,14.851413,1.500512
